17:34:39.087 [JavaFX Application Thread] INFO  com.xenaksys.szcore.server.Server - name: 'awt.toolkit' value: 'sun.lwawt.macosx.LWCToolkit'
17:34:39.087 [JavaFX Application Thread] INFO  com.xenaksys.szcore.server.Server - name: 'java.vm.info' value: 'mixed mode'
17:34:39.087 [JavaFX Application Thread] INFO  com.xenaksys.szcore.server.Server - name: 'java.version' value: '1.8.0_241'
17:34:39.087 [JavaFX Application Thread] INFO  com.xenaksys.szcore.server.Server - name: 'java.ext.dirs' value: '/Users/slavko/Library/Java/Extensions:/Library/Java/JavaVirtualMachines/jdk1.8.0_241.jdk/Contents/Home/jre/lib/ext:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java'
17:34:39.087 [JavaFX Application Thread] INFO  com.xenaksys.szcore.server.Server - name: 'sun.boot.class.path' value: '/Library/Java/JavaVirtualMachines/jdk1.8.0_241.jdk/Contents/Home/jre/lib/resources.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_241.jdk/Contents/Home/jre/lib/rt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_241.jdk/Contents/Home/jre/lib/sunrsasign.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_241.jdk/Contents/Home/jre/lib/jsse.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_241.jdk/Contents/Home/jre/lib/jce.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_241.jdk/Contents/Home/jre/lib/charsets.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_241.jdk/Contents/Home/jre/lib/jfr.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_241.jdk/Contents/Home/jre/classes'
17:34:39.087 [JavaFX Application Thread] INFO  com.xenaksys.szcore.server.Server - name: 'java.vendor' value: 'Oracle Corporation'
17:34:39.087 [JavaFX Application Thread] INFO  com.xenaksys.szcore.server.Server - name: 'file.separator' value: '/'
17:34:39.087 [JavaFX Application Thread] INFO  com.xenaksys.szcore.server.Server - name: 'java.vendor.url.bug' value: 'http://bugreport.sun.com/bugreport/'
17:34:39.087 [JavaFX Application Thread] INFO  com.xenaksys.szcore.server.Server - name: 'sun.cpu.endian' value: 'little'
17:34:39.087 [JavaFX Application Thread] INFO  com.xenaksys.szcore.server.Server - name: 'sun.io.unicode.encoding' value: 'UnicodeBig'
